1775393495.3284717 [INFO] [launch]: All log files can be found below /home/focal/Desktop/2024_GroundStation/run_log/2026-04-05-05-51-35-323668-ubuntu-28422
1775393495.3287966 [INFO] [launch]: Default logging verbosity is set to INFO
1775393495.3932841 [INFO] [myMain-1]: process started with pid [28424]
1775393495.3934629 [INFO] [navNode-2]: process started with pid [28426]
1775393495.7080104 [navNode-2] [INFO] [1775393495.707703535] [navNode]: paths: [
1775393495.7086039 [navNode-2]   {"x": 0.00, "y": 0.00, "z": 0.70, "label": "TakeOff", "qrcode": "", "label2": ""       , "qrcode2": "" },
1775393495.7088993 [navNode-2]   {"x":-0.25, "y": 0.75, "z": 0.80, "label": "A6"     , "qrcode": "", "label2": ""       , "qrcode2": "" },
1775393495.7091246 [navNode-2]   {"x":-0.25, "y": 0.75, "z": 1.20, "label": "A3"     , "qrcode": "", "label2": ""       , "qrcode2": "" },
1775393495.7098193 [navNode-2]   {"x":-0.25, "y": 1.25, "z": 1.20, "label": "A2"     , "qrcode": "", "label2": ""       , "qrcode2": "" },
1775393495.7100766 [navNode-2]   {"x":-0.25, "y": 1.25, "z": 0.80, "label": "A5"     , "qrcode": "", "label2": ""       , "qrcode2": "" },
1775393495.7107666 [navNode-2]   {"x":-0.25, "y": 1.75, "z": 0.80, "label": "A4"     , "qrcode": "", "label2": ""       , "qrcode2": "" },
1775393495.7110388 [navNode-2]   {"x":-0.25, "y": 1.75, "z": 1.20, "label": "A1"     , "qrcode": "", "label2": ""       , "qrcode2": "" },
1775393495.7115707 [navNode-2]   {"x":-0.25, "y": 2.00, "z": 0.70, "label": "UpSide1", "qrcode": "", "label2": ""       , "qrcode2": "" },
1775393495.7118483 [navNode-2]   {"x": 0.75, "y": 2.00, "z": 0.70, "label": "LandPos", "qrcode": "", "label2": ""       , "qrcode2": "" }
1775393495.7120602 [navNode-2] ]
1775393682.2357199 [myMain-1] [INFO] [1775393682.235225019] [Ground]: MCU2 send back: Gdoing*
1775393682.2361965 [navNode-2] [INFO] [1775393682.235532105] [navNode]: MCU2 send back: Gdoing*
1775393682.3546169 [myMain-1] [INFO] [1775393682.354214063] [Ground]: MCU2 send back: Gdone*
1775393682.3550069 [navNode-2] [INFO] [1775393682.354420607] [navNode]: MCU2 send back: Gdone*
1775393682.3550725 [navNode-2] [INFO] [1775393682.354826332] [navNode]: mcu:已到目标点-[none]
1775393682.4758909 [navNode-2] [INFO] [1775393682.475398569] [navNode]: MCU2 send back: Gdone*
1775393682.4762843 [myMain-1] [INFO] [1775393682.475410067] [Ground]: MCU2 send back: Gdone*
1775393682.4764118 [navNode-2] [INFO] [1775393682.476071807] [navNode]: mcu:已到目标点-[none]
1775393683.4962690 [myMain-1] [INFO] [1775393683.495966729] [Ground]: MCU2 send back: Gdone*
1775393683.4967172 [navNode-2] [INFO] [1775393683.495995431] [navNode]: MCU2 send back: Gdone*
1775393683.4968951 [navNode-2] [INFO] [1775393683.496312382] [navNode]: mcu:已到目标点-[none]
1775393683.5946486 [myMain-1] [INFO] [1775393683.594347995] [Ground]: H+06804+03187+05351 发送成功 → 飞行站已调用：H+06804+03187+05351服务
1775393683.6200495 [navNode-2] [INFO] [1775393683.619780050] [navNode]: MCU2 send back: +06804+03187+05351
1775393683.6203518 [myMain-1] [INFO] [1775393683.619878489] [Ground]: MCU2 send back: +06804+03187+05351
1775393683.7179065 [navNode-2] [INFO] [1775393683.717570394] [navNode]: MCU2 send back: Gdoing*
1775393683.7184095 [myMain-1] [INFO] [1775393683.718142844] [Ground]: MCU2 send back: Gdoing*
1775393683.8362837 [navNode-2] [INFO] [1775393683.835786480] [navNode]: MCU2 send back: Gdoing*
1775393683.8366878 [myMain-1] [INFO] [1775393683.835873676] [Ground]: MCU2 send back: Gdoing*
1775393683.9570513 [navNode-2] [INFO] [1775393683.956629153] [navNode]: MCU2 send back: Gdoing*
1775393683.9579947 [myMain-1] [INFO] [1775393683.957475350] [Ground]: MCU2 send back: Gdoing*
1775393684.0775735 [myMain-1] [INFO] [1775393684.076693485] [Ground]: MCU2 send back: Gdoing*
1775393684.0779755 [navNode-2] [INFO] [1775393684.076639027] [navNode]: MCU2 send back: Gdoing*
1775393684.1968353 [myMain-1] [INFO] [1775393684.196391722] [Ground]: MCU2 send back: Gdoing*
1775393684.1979659 [navNode-2] [INFO] [1775393684.197657027] [navNode]: MCU2 send back: Gdoing*
1775393684.3174114 [navNode-2] [INFO] [1775393684.317059155] [navNode]: MCU2 send back: Gdoing*
1775393684.3178036 [myMain-1] [INFO] [1775393684.317645338] [Ground]: MCU2 send back: Gdoing*
1775393684.4374883 [myMain-1] [INFO] [1775393684.437154332] [Ground]: MCU2 send back: Gdoing*
1775393684.4380324 [navNode-2] [INFO] [1775393684.437664217] [navNode]: MCU2 send back: Gdoing*
1775393684.5578198 [navNode-2] [INFO] [1775393684.557399465] [navNode]: MCU2 send back: Gdoing*
1775393684.5591900 [myMain-1] [INFO] [1775393684.558379559] [Ground]: MCU2 send back: Gdoing*
1775393684.6778154 [navNode-2] [INFO] [1775393684.677399049] [navNode]: MCU2 send back: Gdoing*
1775393684.6782343 [myMain-1] [INFO] [1775393684.677805513] [Ground]: MCU2 send back: Gdoing*
1775393684.7983322 [myMain-1] [INFO] [1775393684.797924792] [Ground]: MCU2 send back: Gdoing*
1775393684.7994702 [navNode-2] [INFO] [1775393684.799191295] [navNode]: MCU2 send back: Gdoing*
1775393684.9178329 [myMain-1] [INFO] [1775393684.917474335] [Ground]: MCU2 send back: Gdoing*
1775393684.9182141 [navNode-2] [INFO] [1775393684.917949132] [navNode]: MCU2 send back: Gdoing*
1775393685.0378199 [myMain-1] [INFO] [1775393685.037410507] [Ground]: MCU2 send back: Gdoing*
1775393685.0385091 [navNode-2] [INFO] [1775393685.038329796] [navNode]: MCU2 send back: Gdoing*
1775393685.1592579 [myMain-1] [INFO] [1775393685.158497888] [Ground]: MCU2 send back: Gdoing*
1775393685.1597657 [navNode-2] [INFO] [1775393685.158534361] [navNode]: MCU2 send back: Gdoing*
1775393685.2789698 [navNode-2] [INFO] [1775393685.278612172] [navNode]: MCU2 send back: Gdoing*
1775393685.2794087 [myMain-1] [INFO] [1775393685.279070794] [Ground]: MCU2 send back: Gdoing*
1775393685.3989637 [navNode-2] [INFO] [1775393685.398440252] [navNode]: MCU2 send back: Gdoing*
1775393685.3993788 [myMain-1] [INFO] [1775393685.398521518] [Ground]: MCU2 send back: Gdoing*
1775393685.5199704 [navNode-2] [INFO] [1775393685.519653851] [navNode]: MCU2 send back: Gdone*
1775393685.5203600 [navNode-2] [INFO] [1775393685.520160079] [navNode]: mcu:已到目标点-[none]
1775393685.5214388 [myMain-1] [INFO] [1775393685.521131642] [Ground]: MCU2 send back: Gdone*
1775393685.5385609 [myMain-1] [INFO] [1775393685.538199056] [Ground]: MCU2 send back: Gdone*
1775393685.5389178 [navNode-2] [INFO] [1775393685.538708277] [navNode]: MCU2 send back: Gdone*
1775393685.5391409 [navNode-2] [INFO] [1775393685.539062465] [navNode]: mcu:已到目标点-[none]
1775393686.0725181 [myMain-1] [INFO] [1775393686.072194728] [Ground]: H+05049+03814+05262 发送成功 → 飞行站已调用：H+05049+03814+05262服务
1775393686.0971115 [navNode-2] [INFO] [1775393686.096853050] [navNode]: MCU2 send back: +05049+03814+05262
1775393686.0974045 [myMain-1] [INFO] [1775393686.096899228] [Ground]: MCU2 send back: +05049+03814+05262
